MARKETING CHI NHÁNH	CNMBC	CNMBC1
CH Bạc 106B6 Nguyễn Quý Đức, Thanh Xuân	1222	122211
TTKH 245 Trần Phú, Cẩm Phả	1412	141212
PNJ Vincom Skylake Phạm Hùng	1123	112313
PNJ Savico Hà Nội	1131	113114
CH Bạc Lạc Long Quân	1223	122315
PNJ Vincom Hà Tĩnh	1296	129616
TTKH 129 Chùa Bộc, Đống Đa	1198	119817
TTKH 243 Xã Đàn, Đống Đa	1199	119918
TTKH 334 Cầu Giấy, Cầu Giấy	1200	120019
Co.op Hà Đồng	1201	120120
PNJ BigC Thăng Long, Cầu Giấy	1202	120221
Vincom Phạm Ngọc Thạch	1203	120322
PNJ Bạc Aeon Long Biên	1204	120423
PNJ Aeon Long Biên	1205	120524
Vincom Bắc Từ Liêm	1206	120625
PNJ Vincom Bà Triệu	1207	120726
PNJ Vincom Royalcity	1208	120827
PNJ Vincom Nguyễn Chí Thanh	1209	120928
PNJ Vincom Timescity	1210	121029
CH Bạc 6B Trần Nhân Tông, Hai Bà Trưng	1211	121130
CH Bạc 87A Quang Trung, Hà Đông	1212	121231
Big C Lê Trọng Tấn	1213	121332
CH Bạc 136 Tôn Đức Thắng, Đống Đa	1214	121433
CH Bạc Kim Mã HNI	1215	121534
CH Bạc 231 Ngọc Lâm, Long Biên	1216	121635
CH Bạc 30 Đội Cấn, Ba Đình	1217	121736
CH Bạc 26 Trần Đại Nghĩa, Hai Bà Trưng	1218	121837
CH Bạc 256 Cầu Giấy, Cầu Giấy	1219	121938
CH Bạc Bạch Mai HNI	1220	122039
PNJ Big C Savico	1221	122140
TTKH 30 Quán Thánh, Ba Đình	1224	122441
TTKH Thị trấn Diễn Châu, Nghệ An	1604	160442
TTKH 25A - 25B Điện Biên	1631	163143
TTKH 204 Trần Phú Từ Sơn, Bắc Ninh	1238	123844
PNJ Vincom Trần Duy Hưng	1250	125045
TTKH 695 Điện Biên, Yên Bái	1475	147546
BIG C Hải Dương	1297	129747
VINCOM Hải Dương	1298	129848
TTKH 217 Lạc Long Quân, Cầu Giấy	1300	130049
PNJ Vincom Lê Thánh Tông, Hải Phòng	1301	130150
TTKH 188A Hoàng Liên, Lào Cai - Di dời sang 193 Hoàng Liên	1319	131951
PNJ Bạc BigC Nam Định	1325	132552
TTKH 52 Quang Trung, Nam Định	1326	132653
PNJ Vincom Việt Trì	1328	132854
TTKH 10 Trần Hưng Đạo, Quế Võ	1601	160155
Big C Hạ Long	1336	133656
PNJ Vincom Hạ Long	1337	133757
TTKH Lô 1-2 Trần Hưng Đạo, Hạ Long	1338	133858
TTKH 110 Lương Ngọc Quyến, Thái Nguyên	1345	134559
Vincom Tuyên Quang	1354	135460
TTKH 6A Trần Nhân Tông, Hai Bà Trưng	1364	136461
TTKH 514 Bạch Mai, Hai Bà Trưng	1388	138862
PNJ Vincom Trần Phú, Thanh Hóa	1390	139063
PNJ Vincom Lý Thái Tổ, Bắc Ninh	1391	139164
CH Bạc Hàng Bông - Hoàn Kiếm - HNI	1393	139365
TTKH 168 Hùng Vương, Móng Cái	1413	141366
CH Bạc 280 Bà Triệu, Hai Bà Trưng	1414	141467
CH Bạc Nguyễn Hữu Huân HNI	1415	141568
PNJ Vincom Imperia Hải Phòng	1431	143169
TTKH 311-313 Nguyễn Văn Cừ, Long Biên	1433	143370
TTKH 18A Lạch Tray, Hải Phòng	1299	129971
TTKH 7 Hồ Tùng Mậu, Cầu Giấy	1485	148572
TTKH 68 Lê Lợi,Bắc Giang	1452	145273
TTKH 1783-1785 Hùng Vương, Việt Trì	1552	155274
PNJ Aeon Hà Đông	1461	146175
PNJ Bạc Aeon Hà Đông	1462	146276
TTKH 82 Quang Trung, Tuyên Quang	1463	146377
TTKH 75 Phan Đình Phùng, Hà Tĩnh	1468	146878
TTKH 67 Trần Duy Hưng, Cầu Giấy	1471	147179
TTKH 13 Lê Xoay, Vĩnh Phúc	1474	147480
TTKH 266A Trần Nguyên Hãn, Hải Phòng	1480	148081
TTKH 16-18 Nguyễn Thái Học, Chí Linh	1484	148482
TTKH 113 Phạm Ngũ Lão, Hải Dương	1430	143083
TTKH 8-10 Tân Mai, Hoàng Mai	1618	161884
PNJ Aeonmall Hải Phòng	1495	149585
PNJ Lottemart Vinh	1503	150386
PNJ NEXT 110 Cầu Giấy, Cầu Giấy	1456	145687
TTKH 211-213 Hai Bà Trưng, Thái Bình	1481	148188
TTKH 67 Nguyễn Hữu Tiến, Duy Tiên	1522	152289
PNJ Vincom Smart City Hà Nội	1525	152590
TTKH NEXT 189 Bà Triệu, Hà Nội	1505	150591
TTKH 409 Ngọc Hồi, Thanh Trì	1527	152792
TTKH 94-96 Kim Mã, Ba Đình	1389	138993
TTKH 85 Nguyễn Văn Cừ, Vinh	1510	151094
TTKH 27 Trường Chinh, Sơn La	1553	155395
TTKH 16-18 Cao Lỗ, Đông Anh	1542	154296
TTKH 12-14 Trần Hưng Đạo, Phúc Yên	1559	155997
PNJ Aeon Mall Hà Đông 2	1564	156498
TTKH 34A-34B Đà Nẵng, Hải Phòng 	1581	158199
TTKH 10-11 Quang Trung Vinh, Nghệ An	1374	1374100
TTKH 71 Biên Hòa, Hà Nam	1439	1439101
TTKH CT4A Bắc Linh Đàm, Hoàng Mai	1592	1592102
TTKH 213 Lý Nam Đế, Phổ Yên	1594	1594103
TTKH 1580 Hùng Vương, Việt Trì	1419	1419104
TTKH 58 Quang Trung, Hà Đông	1197	1197105
TTKH 19 Thú Y, Hoài Đức	1605	1605106
TTKH 448-450 Ngô Gia Tự, Bắc Ninh	1237	1237107
TTKH 139-141 Lê Hoàn, Thanh Hóa	1347	1347108
TTKH 159 Trần Hưng Đạo, Ninh Bình	1327	1327109
TTKH 720 Cù Chính Lan, Hòa Bình	1614	1614110
TTKH D8-D9/107 Xuân La, Bắc Từ Liêm	1543	1543111
PNJ NEXT 54-56 Cầu Đất, Hải Phòng	1487	1487112
TTKH 324-326 NT, Nam Từ Liêm	1526	1526113
TTKH 108-110 Bạch Đằng, Thủy Nguyên	1624	1624114
TTKH 1 Tam Thanh, Lạng Sơn	1392	1392115
PNJ Next LK4 Quang Trung, Vinh	1528	1528116
TTKH Ngã 6 Lý Công Uẩn, Lào Cai	1556	1556117
TTKH 111-113 Cầu Diễn, Phúc Diễn	1626	1626118
TTKH 535 Hạ Long, Bãi Cháy	1639	1639119
